"Monthly Climate Statistics for 'BRISBANE REGIONAL OFFICE' [040214]"
"Created on [ 13 May 2026 13:42:17 UTC]"

"040214 BRISBANE REGIONAL OFFICE"
"Commenced: 1840"
"Last Record: 1994"
"Latitude:   27.47 Degrees South"
"Longitude:  153.03 Degrees East"
"Elevation:      38 m"
"State: QLD"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean 9am wet bulb temperature (°C) for years 1951 to 1986 ",21.3,21.4,20.5,18.0,14.6,11.9,10.7,11.9,14.5,17.0,18.9,20.5,16.8,35,1951,1986
"Mean 9am dew point temperature (°C) for years 1951 to 1986 ",18.6,19.1,18.3,15.6,11.7,9.0,7.3,8.1,10.6,13.2,15.3,17.4,13.7,35,1951,1986
"Mean 9am relative humidity (%) for years 1951 to 1986 ",66,69,71,70,70,70,67,63,61,60,60,62,66,35,1951,1986
"Mean 9am cloud cover (okas) for years 1951 to 1986 ",5.4,5.3,4.4,3.5,3.6,3.2,2.9,2.6,2.8,4.1,4.6,4.9,3.9,35,1951,1986
"Mean 9am wind speed (km/h) for years 1951 to 1986 ",7.8,7.5,7.3,6.8,7.3,8.4,8.1,7.6,7.0,7.1,7.1,7.1,7.4,35,1951,1986
"Mean 3pm temperature (°C) for years 1951 to 1986 ",27.4,27.4,26.7,25.1,22.2,20.1,19.5,20.7,22.5,24.0,25.8,27.1,24.0,35,1951,1986
"Mean 3pm wet bulb temperature (°C) for years 1951 to 1986 ",21.7,21.9,21.1,19.0,16.3,14.3,13.4,14.0,15.7,17.7,19.6,21.2,18.0,35,1951,1986
"Mean 3pm dew point temperature (°C) for years 1951 to 1986 ",18.3,18.7,17.6,14.7,11.1,8.8,6.8,7.0,9.4,12.6,15.2,17.5,13.1,35,1951,1986
"Mean 3pm relative humidity (%) for years 1951 to 1986 ",59,60,59,55,52,51,46,44,46,52,55,57,53,35,1951,1986
"Mean 3pm cloud cover (oktas) for years 1951 to 1986 ",4.9,5.2,4.9,4.4,4.2,3.8,3.3,3.1,3.3,4.0,4.1,4.4,4.1,35,1951,1986
"Mean 3pm wind speed (km/h) for years 1951 to 1986 ",14.4,13.6,13.1,11.0,9.5,9.9,10.5,11.7,13.3,14.3,14.5,14.9,12.6,35,1951,1986
