"Monthly Climate Statistics for 'ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)' [023000]"
"Created on [ 13 May 2026 13:30:18 UTC]"

"023000 ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)"
"Commenced: 1839"
"Last Record: 2026"
"Latitude:   34.93 Degrees South"
"Longitude:  138.58 Degrees East"
"Elevation:      29 m"
"State: SA"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean number of clear days for years 1955 to 1977 ",12.3,11.0,10.5,6.7,4.6,4.2,3.2,3.5,5.2,6.0,6.0,8.2,81.4,22,1955,1977
"Mean number of cloudy days for years 1955 to 1977 ",7.3,6.7,9.5,13.4,16.4,15.1,17.5,15.4,13.6,14.2,11.7,10.6,151.4,22,1955,1977
"Mean daily evaporation (mm) for years 1947 to 1979 ",8.0,7.1,5.8,3.7,2.4,1.8,1.7,2.3,3.4,4.7,6.0,7.2,4.5,26,1947,1979
"Mean 9am temperature (°C) for years 1955 to 1979 ",22.5,22.6,20.4,17.4,13.7,11.3,10.5,11.5,13.8,16.6,18.6,20.4,16.6,24,1955,1979
"Mean 9am wet bulb temperature (°C) for years 1955 to 1979 ",15.9,16.3,15.0,13.1,10.9,9.1,8.5,9.1,10.3,12.0,13.1,14.5,12.3,24,1955,1979
"Mean 9am dew point temperature (°C) for years 1955 to 1979 ",10.4,11.1,10.4,9.0,7.9,6.5,6.1,6.2,6.4,7.3,7.8,9.0,8.2,24,1955,1979
"Mean 9am relative humidity (%) for years 1955 to 1979 ",50,52,55,61,70,74,76,72,64,57,53,52,61,24,1955,1979
"Mean 9am cloud cover (okas) for years 1955 to 1979 ",3.8,3.5,4.2,4.8,5.3,5.2,5.6,5.1,4.9,5.0,4.8,4.7,4.7,24,1955,1979
"Mean 9am wind speed (km/h) for years 1955 to 1979 ",11.9,9.9,10.0,10.6,10.1,10.7,11.7,13.0,15.1,16.2,15.1,14.2,12.4,23,1955,1979
"Mean 3pm temperature (°C) for years 1955 to 1977 ",26.7,27.0,24.4,21.1,17.2,15.2,14.0,14.7,16.7,19.5,22.0,23.8,20.2,22,1955,1977
"Mean 3pm wet bulb temperature (°C) for years 1955 to 1977 ",17.6,18.0,16.7,14.8,12.7,11.3,10.5,10.7,11.8,13.3,14.6,15.9,14.0,22,1955,1977
"Mean 3pm dew point temperature (°C) for years 1955 to 1977 ",10.2,10.9,10.4,9.1,8.2,7.2,6.7,6.3,6.6,7.3,7.7,8.9,8.3,22,1955,1977
"Mean 3pm relative humidity (%) for years 1955 to 1977 ",39,40,44,50,58,61,63,60,54,48,44,43,50,22,1955,1977
"Mean 3pm cloud cover (oktas) for years 1955 to 1977 ",3.1,3.2,3.6,4.8,5.2,5.3,5.4,5.2,4.9,4.6,4.4,3.9,4.5,22,1955,1977
"Mean 3pm wind speed (km/h) for years 1955 to 1977 ",19.2,17.4,16.3,15.3,14.2,14.1,16.8,18.8,18.7,19.3,19.2,19.5,17.4,22,1955,1977
