city,station_name,station_number,variable,bom_statistic_label,number_of_years,start_year,end_year,source_page,source_csv
Perth,PERTH METRO,009225,days_ge_30,Mean number of days >= 30 °C for years 1994 to 2026,32,1994,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,days_ge_35,Mean number of days >= 35 °C for years 1994 to 2026,32,1994,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,days_ge_40,Mean number of days >= 40 °C for years 1994 to 2026,32,1994,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,mean_rain_mm,Mean rainfall (mm) for years 1993 to 2026,33,1993,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,rain_days,Mean number of days of rain for years 1993 to 2026,33,1993,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,rain_days_ge_1mm,Mean number of days of rain >= 1 mm for years 1993 to 2026,33,1993,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,rain_days_ge_10mm,Mean number of days of rain >= 10 mm for years 1993 to 2026,33,1993,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,rain_days_ge_25mm,Mean number of days of rain >= 25 mm for years 1993 to 2026,33,1993,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,sunshine_hours,Mean daily sunshine (hours) for years null to null,,,,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,solar_exposure_mj_m2,Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026,36,1990,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
